ITE_ITEM_TITLE_1,ITE_ITEM_TITLE_2,Score Similitud
Tênis Feminino Adulto Sneaker Dakota G0989 Pronta Entrega,Tênis Infantil Masculino Feminino Liso A Pronta Entrega 12x,0.3423399768255227
Sapatenis Casual Combo 3 Pares Infantil Dex,Tênis 02 Pares Sapatênis Sapatilha Casual Feminino Srt/414,0.33719449562301096
Tênis Vizzano Slip On Monograma,Tenis Slip On Masculino Couro Legítimo Casual Lindo,0.3307971396583366
Slip On Feminino Calce Facil Moleca Original Tenis Casual,Tenis Slip On Masculino Couro Legítimo Casual Lindo,0.32554633895970125
Tênis Infantil Menino Molekinho 2821104 Azul Preto Laranja,Tênis Infantil Masculino Molekinho Esportivo 2831.113 Preto,0.3252429641805748
Ténis Estilo All Star Cano Alto Masculino De Couro 16,Tênis Feminino Casual Estilo Star Em Jeans Vermelho,0.3219789724859145
Tenis Infantil Olympikus Spider Kids ,Tênis Infantil Menina Fashion Kids Moda Feminino Bebe N22,0.32134899023571034
Tenis Feminino De Fazer Caminhada Corrida Academia Barato,Tenis Atacado Barato ,0.3203217527543769
Tênis Vizzano Slip On Monograma,Slip On Feminino Calce Facil Moleca Original Tenis Casual,0.31925913983931237
Tenis Feminino De Fazer Caminhada Corrida Academia Barato,Tênis De Academia Masculino Para Caminhada Leve Confortável,0.31788566606452034
Tênis Vizzano Slip On Monograma,Tênis Slip-on Infantil Menino Camuflado Molekinho 2617100,0.3163819762788976
Tênis De Academia Masculino Para Caminhada Leve Confortável,Tênis Academia Corrida E Caminhada Lotto Quest,0.3147411103127582
Tenis Para Caminhada Super Levinho Spider Corrida ,Tenis Feminino De Fazer Caminhada Corrida Academia Barato,0.3144288272914426
Tenis Para Caminhada Super Levinho Spider Corrida ,Tênis Academia Corrida E Caminhada Lotto Quest,0.31131846692313825
Tênis Antiviral Piccadilly Slip-on Sem Cadarço Napa Branco,Tênis Modare Napa Branco - Original + Nf ,0.3105046207677952
Tênis Antiviral Piccadilly Slip-on Sem Cadarço Napa Branco,Tênis Vizzano Slip On Monograma,0.3065757563259932
Slip On Feminino Calce Facil Moleca Original Tenis Casual,Tênis Solado Baixo Moleca Feminino Camurça Original,0.3062813154373191
Tênis Feminino Adulto Sneaker Dakota G0989 Pronta Entrega,Tênis Esportivo Masculino Olimpak Pronta Entrega Na Caixa,0.30465162518378613
Tênis Casual Kolosh Sportstyle Feminino K8861 Promoção,Tenis Chunky Kolosh Feminino Casual Evafit Conforto Maciez,0.30305964692077203
Tênis Olympikus Esportivo Academia Nova Tendência Triunfo ,Tênis Esportivo Olympikus Antiderrapante Original Com Nf,0.29948149782314154
Tenis  Feminino Pimenta Doce Plataforma Chunky Sneaker,Tênis Feminino Branco Chuncky Plataforma,0.2978208995108864
Tenis Para Caminhada Super Levinho Spider Corrida ,Tênis Super Star Caminhada Estilo Casual Marinho Unissex +nf,0.2964861142714319
Ténis Estilo All Star Cano Alto Masculino De Couro 16,Tenis Infantil Menino Menina Cano Alto Bota Botinha Tênis,0.29516646166239874
Tênis Masculino Original Casual Confortável + Chinelo Danper,Tênis De Academia Masculino Para Caminhada Leve Confortável,0.29312600253181076
Tenis Para Caminhada Super Levinho Spider Corrida ,Tenis Infantil Olympikus Spider Kids ,0.2921102167566353
Tênis Polo Energy Casual Tecido Marinho,Tênis Polo Farm Juvenil Casual Masculino 91728,0.2919633484029131
Kit 2 Pares Tênis Casual Sapatenis Feminino Clássico,Tênis Sapatênis Feminino Anabela Casual Confort Para Esporão,0.2911493023974266
Tênis Fila Masculino Preto Corrida Caminhada Academia ,Tênis Fila Euro Jogger Marinho E Branco Masculino Original,0.290686531577723
Tênis Feminino Caminhada Original Mikelly Confortável Azul,Tênis Masculino Original Casual Confortável + Chinelo Danper,0.28843183689633506
